position_id,department_id,name_es,name_en,rank,hod_capable,binding,default_grade,existence,jurisdictions,aliases_es,aliases_en
hmu.makeup_designer,hmu,Diseñador de Maquillaje,Makeup Department Head,10,1,production,manager,core,,diseñador de maquillaje|diseñadora de maquillaje|diseñadora de m&p|jefe de maquillaje|jefa de maquillaje,makeup department head|department head makeup|key makeup designer
hmu.hair_designer,hmu,Jefe de Peinados,Hair Department Head,10,1,production,manager,core,,jefe de peinados|jefa de peinados|diseñadora de peinados,hair department head|department head hair
hmu.coordinator,hmu,Coordinador de M&P,HMU Coordinator,30,1,production,coordinator,core,,coordinador de maquillaje|coordinadora de maquillaje|coordinador de m&p,hmu coordinator|makeup coordinator
hmu.key_makeup,hmu,Key de Maquillaje,Key Makeup Artist,40,0,unit,key,core,,key maquillaje|key de maquillaje,key makeup|key makeup artist
hmu.key_hair,hmu,Key de Peinados,Key Hair Stylist,40,0,unit,key,core,,key peinados|key de peinados,key hair|key hair stylist
hmu.makeup_artist,hmu,Maquillista,Makeup Artist,50,0,unit,assistant,core,,maquillista|asistente de maquillaje|asst maquillaje,makeup artist|assistant makeup
hmu.hair_stylist,hmu,Peinador,Hair Stylist,50,0,unit,assistant,core,,peinador|peinadora|asistente de peinados|asst peinados,hair stylist|assistant hair
hmu.sfx_makeup,hmu,Maquillaje de Efectos,SFX Makeup Artist,40,0,unit,key,conditional,,maquillaje de efectos|efectos de maquillaje|protesis,sfx makeup|prosthetics|special makeup effects
locations.manager,locations,Gerente de Locaciones,Location Manager,10,1,unit,manager,core,,gerente de locaciones|jefe de locaciones|location manager,location manager|locations manager
locations.key_assistant,locations,Asistente Clave de Locaciones,Key Assistant Location Manager,30,0,unit,key,core,,asistente clave de locaciones|key de locaciones,key assistant location manager|kalm
locations.coordinator,locations,Coordinador de Locaciones,Locations Coordinator,30,1,production,coordinator,core,,coordinador de locaciones|coordinadora de locaciones,locations coordinator
locations.scout,locations,Scout de Locaciones,Location Scout,40,0,production,key,core,,scout|scouter|buscador de locaciones,location scout|scout
locations.assistant,locations,Asistente de Locaciones,Assistant Location Manager,50,0,unit,assistant,core,,asistente de locaciones|asst de locaciones|asst. de locaciones,assistant location manager|location assistant
locations.support,locations,Soporte de Locaciones,Locations Support,60,0,unit,operator,core,,soporte de locaciones|apoyo de locaciones|personal de locaciones|cleanstage|limpieza|encargado de basecamp,locations support|cleanup|basecamp attendant
transport.coordinator,transport,Coordinador de Transporte,Transportation Coordinator,10,1,unit,coordinator,core,,coordinador de transporte|coordinador de transpo|coordinadora de transporte,transportation coordinator|transpo coordinator
transport.captain,transport,Capitán de Transporte,Transportation Captain,30,0,unit,key,core,,capitan de transporte|co capitan de transporte,transportation captain|transpo captain
transport.dispatcher,transport,Despachador,Dispatcher,40,0,unit,operator,core,,dispatcher|despachador|despachadora,dispatcher
transport.driver,transport,Conductor,Driver,60,0,unit,operator,core,,conductor|chofer|operador de unidad|conductor de unidad,driver|teamster
picture_cars.coordinator,picture_cars,Coordinador de Picture Cars,Picture Car Coordinator,10,1,unit,coordinator,conditional,,coordinador de picture cars|jefe de picture cars|jefa de picture cars|coord de picture cars,picture car coordinator|picture cars coordinator
picture_cars.assistant,picture_cars,Asistente de Picture Cars,Picture Car Assistant,50,0,unit,assistant,conditional,,asistente de picture cars|asst picture cars,picture car assistant
picture_cars.driver,picture_cars,Conductor de Action Cars,Action Car Driver,60,0,unit,operator,conditional,,conductor action cars|conductor de picture cars|precision driver,action car driver|precision driver
stunts.coordinator,stunts,Coordinador de Stunts,Stunt Coordinator,10,1,unit,coordinator,conditional,,coordinador de stunts|coordinadora de stunts|jefe de dobles,stunt coordinator
stunts.rigger,stunts,Rigger de Stunts,Stunt Rigger,40,0,unit,key,conditional,,rigger|rigger de stunts,stunt rigger|rigger
stunts.performer,stunts,Doble,Stunt Performer,60,0,unit,operator,conditional,,doble|stunt|stunt performer|especialista,stunt performer|stunt double|stunt
sfx.supervisor,sfx,Supervisor de Efectos Especiales,SFX Supervisor,10,1,unit,supervisor,conditional,,supervisor de efectos especiales|supervisora de efectos especiales|jefe de fx,sfx supervisor|special effects supervisor
sfx.coordinator,sfx,Coordinador de Efectos Especiales,SFX Coordinator,30,1,unit,coordinator,conditional,,coordinador de fx|coordinador de efectos especiales|coord de fx,sfx coordinator|special effects coordinator
sfx.technician,sfx,Técnico de Efectos Especiales,SFX Technician,60,0,unit,operator,conditional,,tecnico de efectos especiales|tecnico fx|efectos especiales,sfx technician|special effects technician
vfx.supervisor,vfx,Supervisor de VFX,VFX Supervisor,10,1,production,supervisor,conditional,,supervisor de vfx|supervisora de vfx|supervisor de efectos visuales,vfx supervisor|visual effects supervisor
vfx.producer,vfx,Productor de VFX,VFX Producer,20,0,production,manager,conditional,,productor de vfx|productora de vfx,vfx producer
vfx.coordinator,vfx,Coordinador de VFX,VFX Coordinator,30,1,production,coordinator,conditional,,coordinador de vfx|coordinadora de vfx,vfx coordinator
vfx.on_set_data,vfx,Data Wrangler de VFX,VFX Data Wrangler,50,0,unit,assistant,conditional,,data wrangler vfx|vfx pa|asistente de vfx,vfx data wrangler|vfx pa
animals.head_trainer,animals,Entrenador Principal,Head Animal Trainer,10,1,unit,key,conditional,,entrenador de animales|animalero|jefe animalero,head animal trainer|animal wrangler|head wrangler
animals.assistant,animals,Asistente Animalero,Animal Handler,50,0,unit,assistant,conditional,,asistente animalero|asst animalero|manejador de animales,animal handler|assistant wrangler
catering.coordinator,catering,Coordinador de Alimentación,Catering Coordinator,10,1,unit,coordinator,core,,coordinador de catering|coordinadora de catering|coordinador de alimentacion,catering coordinator|catering manager
catering.chef,catering,Chef,Head Chef,20,0,unit,key,core,,chef|cocinero principal|jefe de cocina,head chef|chef
catering.craft_service,catering,Coordinador de Craft,Craft Service,30,1,unit,coordinator,core,,coordinador de craft|craft service|crafty,craft service|craft services
catering.crew,catering,Personal de Cocina,Catering Crew,60,0,unit,operator,core,,crew cocina|personal de cocina|cafetero|asst cafetero|ayudante de cocina,catering crew|kitchen crew|craft assistant
medical.department_lead,medical,Jefatura de Salud y Seguridad,Health & Safety Lead,10,1,unit,,core,,gerente de salud y seguridad|coordinador de salud y seguridad|coordinadora de salud y seguridad|supervisor de salud y seguridad|supervisora de salud y seguridad|jefe de salud y seguridad|salud y seguridad|seguridad y salud|s&s,health & safety supervisor|health and safety supervisor|health & safety coordinator|health & safety manager|health and safety officer|health & safety officer|health & safety
medical.set_medic,medical,Médico en Set,Set Medic,30,0,unit,key,core,,medico en set|doctor en set|doctora en set,set medic|on set medic|doctor
medical.paramedic,medical,Paramédico,Paramedic,50,0,unit,operator,core,,paramedico|ambulancia|enfermero|enfermera,paramedic|emt|ambulance
medical.assistant,medical,Asistente de S&S,H&S Assistant,50,0,unit,assistant,core,,asistente de s&s|asistente de salud y seguridad,h&s assistant|safety assistant
medical.covid_officer,medical,Oficial de Protocolos,Compliance Officer,40,0,unit,key,conditional,,oficial de protocolos|covid officer|ipc|monitor covid,covid compliance officer|health safety officer|ipc
security.coordinator,security,Coordinador de Seguridad,Security Coordinator,10,1,unit,coordinator,core,,coordinador de seguridad|coordinadora de seguridad|jefe de seguridad,security coordinator|security manager
security.guard,security,Elemento de Seguridad,Security Guard,60,0,unit,operator,core,,elemento de seguridad|elementos de seguridad|guardia|seguridad adicional,security guard|security officer
sustainability.lead,sustainability,Jefatura de Sustentabilidad,Sustainability Lead,10,1,production,,conditional,,jefe de sustentabilidad|jefa de sustentabilidad|coordinador de sustentabilidad|coordinadora de sustentabilidad|supervisor de sustentabilidad,sustainability lead|eco supervisor|green supervisor|sustainability coordinator
sustainability.eco_pa,sustainability,Eco PA,Eco PA,60,0,unit,assistant,conditional,,eco pa|greener en set|asistente de sustentabilidad|encargado de logistica greener,eco pa|green pa|sustainability assistant
welfare.studio_teacher,welfare,Maestro Tutor,Studio Teacher,10,1,unit,key,conditional,,maestro tutor|maestra tutora|tutor|tutora,studio teacher|welfare worker|on set teacher
welfare.chaperone,welfare,Acompañante de Menores,Chaperone,50,0,unit,assistant,conditional,,acompañante de menores|chaperon|responsable de menores,chaperone|minor guardian
publicity.unit_publicist,publicity,Prensa de Unidad,Unit Publicist,10,1,production,manager,conditional,,prensa de unidad|publicista|relaciones publicas,unit publicist|publicist
publicity.epk,publicity,EPK,EPK Crew,40,0,unit,key,conditional,,epk|making of|detras de camaras,epk|behind the scenes|bts
post.supervisor,post,Supervisor de Postproducción,Post Supervisor,10,1,production,supervisor,core,,supervisor de postproduccion|supervisora de postproduccion|jefe de post,post supervisor|post production supervisor
post.coordinator,post,Coordinador de Postproducción,Post Coordinator,30,1,production,coordinator,core,,coordinador de postproduccion|coordinadora de postproduccion,post coordinator
post.editor,post,Editor,Editor,20,0,production,key,core,,editor|editora|montajista,editor|picture editor
post.assistant_editor,post,Asistente de Edición,Assistant Editor,50,0,production,assistant,core,,asistente de edicion|asistente de postproduccion|post pa,assistant editor|post pa
compliance.talent_union_rep,compliance,Delegado del ANDA,Talent Union Rep,10,1,unit,key,jurisdictional,MX,delegado del anda|delegada del anda|delegado anda|anda|anda clerk,talent union rep|anda delegate
compliance.crew_union_rep,compliance,Delegado Sindical,Crew Union Rep,10,1,unit,key,jurisdictional,MX,delegado sindical|delegado|delegada|representante sindical|stpc|stic,crew union rep|shop steward
compliance.localizer,compliance,Tropicalizador,Localization Advisor,30,0,production,coordinator,jurisdictional,MX,tropicalizador|tropicalizadora|asesor de localizacion,localization advisor|cultural consultant
